 "nameObj" , "predicate" , "nameDom" ,
 "transposition" , "domain_category" , "music" ,
 "transposition" , "domain_category" , "electricity" ,
 "transposition" , "domain_category" , "algebra" ,
 "transposition" , "domain_category" , "genetics" ,
 "transposition" , "domain_category" , "genetic science" ,
 "shot" , "domain_category" , "sport" ,
 "shot" , "domain_category" , "athletics" ,
 "thrust" , "domain_category" , "geology" ,
 "drive" , "domain_category" , "driving" ,
 "drive" , "domain_category" , "driving" ,
 "drive" , "domain_category" , "driving" ,
 "drive" , "domain_category" , "hunt" ,
 "drive" , "domain_category" , "hunting" ,
 "drive" , "domain_category" , "hunt" ,
 "drive" , "domain_category" , "hunting" ,
 "drive" , "domain_category" , "golf" ,
 "drive" , "domain_category" , "golf game" ,
 "drive" , "domain_category" , "tennis" ,
 "drive" , "domain_category" , "lawn tennis" ,
 "drive" , "domain_category" , "squash" ,
 "drive" , "domain_category" , "squash racquets" ,
 "drive" , "domain_category" , "squash rackets" ,
 "drive" , "domain_category" , "sport" ,
 "drive" , "domain_category" , "athletics" ,
 "drive" , "domain_category" , "excavation" ,
 "drive" , "domain_category" , "mining" ,
 "drive" , "domain_category" , "computing" ,
 "drive" , "domain_category" , "computer science" ,
 "firewall" , "domain_category" , "computing" ,
 "firewall" , "domain_category" , "computer science" ,
 "impulse" , "domain_category" , "electronics" ,
 "roll" , "domain_category" , "business" ,
 "roll" , "domain_category" , "commercial enterprise" ,
 "roll" , "domain_category" , "business enterprise" ,
 "bowl" , "domain_category" , "bowling" ,
 "bowl" , "domain_category" , "cricket" ,
 "heave" , "domain_category" , "geology" ,
 "cast" , "domain_category" , "performing arts" ,
 "leaner" , "domain_category" , "quoits" ,
 "leaner" , "domain_category" , "horseshoes" ,
 "flip" , "domain_category" , "sport" ,
 "flip" , "domain_category" , "athletics" ,
 "toss" , "domain_category" , "sport" ,
 "toss" , "domain_category" , "athletics" ,
 "pitch" , "domain_category" , "ball" ,
 "pitch" , "domain_category" , "baseball game" ,
 "pitch" , "domain_category" , "baseball" ,
 "pitch" , "domain_category" , "ship" ,
 "pitch" , "domain_category" , "cards" ,
 "pitch" , "domain_category" , "card game" ,
 "ringer" , "domain_category" , "quoits" ,
 "ringer" , "domain_category" , "horseshoes" ,
 "throw-in" , "domain_category" , "rugger" ,
 "throw-in" , "domain_category" , "rugby" ,
 "throw-in" , "domain_category" , "rugby football" ,
 "curve" , "domain_category" , "river" ,
 "hummer" , "domain_category" , "ball" ,
 "hummer" , "domain_category" , "baseball game" ,
 "hummer" , "domain_category" , "baseball" ,
 "fastball" , "domain_category" , "ball" ,
 "fastball" , "domain_category" , "baseball game" ,
 "fastball" , "domain_category" , "baseball" ,
 "heater" , "domain_category" , "ball" ,
 "heater" , "domain_category" , "baseball game" ,
 "heater" , "domain_category" , "baseball" ,
 "smoke" , "domain_category" , "ball" ,
 "smoke" , "domain_category" , "baseball game" ,
 "smoke" , "domain_category" , "baseball" ,
 "bullet" , "domain_category" , "ball" ,
 "bullet" , "domain_category" , "baseball game" ,
 "bullet" , "domain_category" , "baseball" ,
 "dunk" , "domain_category" , "basketball" ,
 "dunk" , "domain_category" , "hoops" ,
 "dunk" , "domain_category" , "basketball game" ,
 "hook" , "domain_category" , "boxing" ,
 "hook" , "domain_category" , "pugilism" ,
 "hook" , "domain_category" , "fisticuffs" ,
 "hook" , "domain_category" , "golf" ,
 "hook" , "domain_category" , "golf game" ,
 "hook" , "domain_category" , "rugger" ,
 "hook" , "domain_category" , "rugby" ,
 "hook" , "domain_category" , "rugby football" ,
 "hook" , "domain_category" , "handicraft" ,
 "jumper" , "domain_category" , "basketball" ,
 "jumper" , "domain_category" , "hoops" ,
 "jumper" , "domain_category" , "basketball game" ,
 "jump shot" , "domain_category" , "basketball" ,
 "jump shot" , "domain_category" , "hoops" ,
 "jump shot" , "domain_category" , "basketball game" ,
 "push" , "domain_category" , "crime" ,
 "push" , "domain_category" , "law-breaking" ,
 "push" , "domain_category" , "criminal offense" ,
 "push" , "domain_category" , "criminal offence" ,
 "jog" , "domain_category" , "sport" ,
 "jog" , "domain_category" , "athletics" ,
 "impression" , "domain_category" , "dental medicine" ,
 "impression" , "domain_category" , "odontology" ,
 "impression" , "domain_category" , "dentistry" ,
 "impression" , "domain_category" , "printing" ,
 "impression" , "domain_category" , "printing process" ,
 "pull" , "domain_category" , "ball" ,
 "pull" , "domain_category" , "baseball game" ,
 "pull" , "domain_category" , "baseball" ,
 "draw" , "domain_category" , "American football game" ,
 "draw" , "domain_category" , "American football" ,
 "draw" , "domain_category" , "ball" ,
 "draw" , "domain_category" , "baseball game" ,
 "draw" , "domain_category" , "baseball" ,
 "draw" , "domain_category" , "artistic production" ,
 "draw" , "domain_category" , "art" ,
 "draw" , "domain_category" , "artistic creation" ,
 "jerk" , "domain_category" , "mechanics" ,
 "draft" , "domain_category" , "authorship" ,
 "draft" , "domain_category" , "writing" ,
 "draft" , "domain_category" , "penning" ,
 "draft" , "domain_category" , "composition" ,
 "draft" , "domain_category" , "armed forces" ,
 "draft" , "domain_category" , "armed services" ,
 "draft" , "domain_category" , "military machine" ,
 "draft" , "domain_category" , "military" ,
 "draft" , "domain_category" , "war machine" ,
 "traction" , "domain_category" , "orthopaedics" ,
 "traction" , "domain_category" , "orthopedics" ,
 "traction" , "domain_category" , "car" ,
 "traction" , "domain_category" , "motorcar" ,
 "traction" , "domain_category" , "automobile" ,
 "traction" , "domain_category" , "auto" ,
 "traction" , "domain_category" , "machine" ,
 "lift" , "domain_category" , "crime" ,
 "lift" , "domain_category" , "law-breaking" ,
 "lift" , "domain_category" , "criminal offense" ,
 "lift" , "domain_category" , "criminal offence" ,
 "lift" , "domain_category" , "crime" ,
 "lift" , "domain_category" , "law-breaking" ,
 "lift" , "domain_category" , "criminal offense" ,
 "lift" , "domain_category" , "criminal offence" ,
 "raise" , "domain_category" , "cards" ,
 "raise" , "domain_category" , "card game" ,
 "raise" , "domain_category" , "bridge" ,
 "raise" , "domain_category" , "poker game" ,
 "raise" , "domain_category" , "poker" ,
 "raise" , "domain_category" , "construction" ,
 "raise" , "domain_category" , "building" ,
 "raise" , "domain_category" , "farming" ,
